position	players	withId
C	Omar Narvaez	Omar Narvaez (553882)
1B	Rhys Hoskins	Rhys Hoskins (656555)
2B	Whit Merrifield	Whit Merrifield (593160)
3B	Eduardo Escobar	Eduardo Escobar (500871)
SS	Willy Adames	Willy Adames (642715)
MI	Gleyber Torres	Gleyber Torres (650402)
CI	Yuli Gurriel	Yuli Gurriel (493329)
OF	Aaron Judge	Aaron Judge (592450)
OF	Mitch Haniger	Mitch Haniger (571745)
OF	Robbie Grossman	Robbie Grossman (543257)
OF	Yordan Alvarez	Yordan Alvarez (670541)
DH	Jake Fraley	Jake Fraley (641584)
DH	Ji-Man Choi	Ji-Man Choi (596847)
DH	Jorge Soler	Jorge Soler (624585)
DH	Tyler O'Neill	Tyler O'Neill (641933)
BAT BENCH	Cody Bellinger	Cody Bellinger (641355)
BAT BENCH	Luis Urias	Luis Urias (649966)
BAT BENCH	Paul DeJong	Paul DeJong (657557)
SP	Alek Manoah	Alek Manoah (666201)
SP	Carlos Rodon	Carlos Rodon (607074)
SP	Joe Musgrove	Joe Musgrove (605397)
SP	Kenta Maeda	Kenta Maeda (628317)
SP	Logan Gilbert	Logan Gilbert (669302)
SP	Logan Webb	Logan Webb (657277)
RP	Collin McHugh	Collin McHugh (543521)
RP	Drew Steckenrider	Drew Steckenrider (608716)
OP	Brandon Woodruff	Brandon Woodruff (605540)
OP	Kenley Jansen	Kenley Jansen (445276)
OP	Kevin Gausman	Kevin Gausman (592332)
OP	Matt Wisler	Matt Wisler (605538)
OP	Will Smith	Will Smith (519293)
PITCH BENCH	Shane Bieber	Shane Bieber (669456)
PITCH BENCH	Eli Morgan	Eli Morgan (669212)
