position	players	withId
C	Will Smith	Will Smith (669257)
1B	Pete Alonso	Pete Alonso (624413)
2B	Ozzie Albies	Ozzie Albies (645277)
3B	Yoan Moncada	Yoan Moncada (660162)
SS	Xander Bogaerts	Xander Bogaerts (593428)
MI	Tim Anderson	Tim Anderson (641313)
CI	Patrick Wisdom	Patrick Wisdom (621550)
OF	Juan Soto	Juan Soto (665742)
OF	Mike Yastrzemski	Mike Yastrzemski (573262)
OF	Nelson Cruz	Nelson Cruz (443558)
OF	Ryan Mountcastle	Ryan Mountcastle (663624)
DH	Starling Marte	Starling Marte (516782)
DH	Teoscar Hernandez	Teoscar Hernandez (606192)
DH	Bobby Dalbec	Bobby Dalbec (666915)
DH	Pavin Smith	Pavin Smith (656976)
BAT BENCH	Steven Duggar	Steven Duggar (621453)
BAT BENCH	Mike Zunino	Mike Zunino (572287)
BAT BENCH	Wander Franco	Wander Franco (677551)
SP	Hyun Jin Ryu	Hyun Jin Ryu (547943)
SP	Ian Anderson	Ian Anderson (666120)
SP	Marcus Stroman	Marcus Stroman (573186)
SP	Sandy Alcantara	Sandy Alcantara (645261)
SP	Sean Manaea	Sean Manaea (640455)
SP	Yu Darvish	Yu Darvish (506433)
RP	Jordan Romano	Jordan Romano (605447)
RP	Tyler Rogers	Tyler Rogers (643511)
OP	Casey Mize	Casey Mize (663554)
OP	David Bednar	David Bednar (670280)
OP	Spencer Patton	Spencer Patton (607359)
OP	Tyler Anderson	Tyler Anderson (542881)
OP	Brady Singer	Brady Singer (663903)
PITCH BENCH	Manuel Rodriguez	Manuel Rodriguez (655889)
PITCH BENCH	Drew Smyly	Drew Smyly (592767)
