position	players	withId
C	Will Smith	Will Smith (669257)
1B	Jose Abreu	Jose Abreu (547989)
2B	Whit Merrifield	Whit Merrifield (593160)
3B	Manny Machado	Manny Machado (592518)
SS	Xander Bogaerts	Xander Bogaerts (593428)
MI	Jose Iglesias	Jose Iglesias (578428)
CI	Alec Bohm	Alec Bohm (664761)
OF	Eloy Jimenez	Eloy Jimenez (650391)
OF	Luis Robert	Luis Robert (673357)
OF	Bryan Reynolds	Bryan Reynolds (668804)
OF	Chris Taylor	Chris Taylor (621035)
DH	Anthony Rizzo	Anthony Rizzo (519203)
DH	Michael Harris II	Michael Harris II (671739)
DH	Shohei Ohtani	Shohei Ohtani (660271)
DH	Ian Happ	Ian Happ (664023)
BAT BENCH	Joey Gallo	Joey Gallo (608336)
BAT BENCH	Ke'Bryan Hayes	Ke'Bryan Hayes (663647)
BAT BENCH	Michael Brantley	Michael Brantley (488726)
BAT BENCH	Aaron Hicks	Aaron Hicks (543305)
SP	Carlos Carrasco	Carlos Carrasco (471911)
SP	George Kirby	George Kirby (669923)
SP	Miles Mikolas	Miles Mikolas (571945)
SP	Nestor Cortes	Nestor Cortes (641482)
SP	Shohei Ohtani	Shohei Ohtani (660271)
SP	Ranger Suarez	Ranger Suarez (624133)
RP	Ryan Pressly	Ryan Pressly (519151)
RP	Rowan Wick	Rowan Wick (592858)
OP	Blake Snell	Blake Snell (605483)
OP	Braxton Garrett	Braxton Garrett (666129)
OP	Gregory Soto	Gregory Soto (642397)
OP	Nathan Eovaldi	Nathan Eovaldi (543135)
OP	Tyler Mahle	Tyler Mahle (641816)
PITCH BENCH	Noah Syndergaard	Noah Syndergaard (592789)
PITCH BENCH	Aroldis Chapman	Aroldis Chapman (547973)
PITCH BENCH	David Peterson	David Peterson (656849)
