position	players	withId
C	Bo Naylor	Bo Naylor (666310)
1B	Freddie Freeman	Freddie Freeman (518692)
2B	Gleyber Torres	Gleyber Torres (650402)
3B	Max Muncy	Max Muncy (571970)
SS	Willy Adames	Willy Adames (642715)
MI	Maikel Garcia	Maikel Garcia (672580)
CI	Vladimir Guerrero Jr.	Vladimir Guerrero Jr. (665489)
OF	Cody Bellinger	Cody Bellinger (641355)
OF	Kyle Tucker	Kyle Tucker (663656)
OF	Michael Harris II	Michael Harris II (671739)
OF	Ian Happ	Ian Happ (664023)
DH	Jose Siri	Jose Siri (642350)
DH	Jurickson Profar	Jurickson Profar (595777)
DH	Michael Busch	Michael Busch (683737)
DH	Jesse Winker	Jesse Winker (608385)
BAT BENCH	James Outman	James Outman (681546)
BAT BENCH	Zack Gelof	Zack Gelof (680869)
BAT BENCH	Seiya Suzuki	Seiya Suzuki (673548)
SP	Charlie Morton	Charlie Morton (450203)
SP	Joe Musgrove	Joe Musgrove (605397)
SP	Michael King	Michael King (650633)
SP	Nathan Eovaldi	Nathan Eovaldi (543135)
SP	Seth Lugo	Seth Lugo (607625)
SP	Jack Flaherty	Jack Flaherty (656427)
RP	Adbert Alzolay	Adbert Alzolay (640470)
RP	Edwin Díaz	Edwin Díaz (621242)
OP	Jason Foley	Jason Foley (671345)
OP	Ryne Nelson	Ryne Nelson (669194)
OP	Kyle Harrison	Kyle Harrison (690986)
OP	José Buttó	José Buttó (676130)
OP	James McArthur	James McArthur (663704)
PITCH BENCH	Clarke Schmidt	Clarke Schmidt (657376)
PITCH BENCH	Luis Gil	Luis Gil (661563)
PITCH BENCH	Bobby Miller	Bobby Miller (676272)
PITCH BENCH	Framber Valdez	Framber Valdez (664285)
