position	players	withId
C	Logan O'Hoppe	Logan O'Hoppe (681351)
1B	Matt Olson	Matt Olson (621566)
2B	Marcus Semien	Marcus Semien (543760)
3B	Royce Lewis	Royce Lewis (668904)
SS	Gunnar Henderson	Gunnar Henderson (683002)
MI	Oneil Cruz	Oneil Cruz (665833)
CI	Anthony Santander	Anthony Santander (623993)
OF	J.D. Martinez	J.D. Martinez (502110)
OF	Jarren Duran	Jarren Duran (680776)
OF	Julio Rodríguez	Julio Rodríguez (677594)
OF	Luis Rengifo	Luis Rengifo (650859)
DH	Andrew Vaughn	Andrew Vaughn (683734)
DH	Brandon Lowe	Brandon Lowe (664040)
DH	David Hamilton	David Hamilton (666152)
DH	Jorge Soler	Jorge Soler (624585)
BAT BENCH	Colton Cowser	Colton Cowser (681297)
BAT BENCH	Jackson Chourio	Jackson Chourio (694192)
BAT BENCH	Jesse Winker	Jesse Winker (608385)
BAT BENCH	Ryan O'Hearn	Ryan O'Hearn (656811)
SP	Chris Bassitt	Chris Bassitt (605135)
SP	Chris Sale	Chris Sale (519242)
SP	Cole Ragans	Cole Ragans (666142)
SP	Hunter Greene	Hunter Greene (668881)
SP	Luis Severino	Luis Severino (622663)
SP	Yusei Kikuchi	Yusei Kikuchi (579328)
RP	Craig Kimbrel	Craig Kimbrel (518886)
RP	Raisel Iglesias	Raisel Iglesias (628452)
OP	Cole Irvin	Cole Irvin (608344)
OP	Jake Irvin	Jake Irvin (663623)
OP	José Soriano	José Soriano (667755)
OP	Kyle Gibson	Kyle Gibson (502043)
OP	Max Scherzer	Max Scherzer (453286)
PITCH BENCH	Erick Fedde	Erick Fedde (607200)
PITCH BENCH	Jordan Romano	Jordan Romano (605447)
PITCH BENCH	Marcus Stroman	Marcus Stroman (573186)
