position	players	withId
C	J.T. Realmuto	J.T. Realmuto (592663)
1B	Ryan O'Hearn	Ryan O'Hearn (656811)
2B	Colt Keith	Colt Keith (690993)
3B	Rafael Devers	Rafael Devers (646240)
SS	Bobby Witt Jr.	Bobby Witt Jr. (677951)
MI	Trea Turner	Trea Turner (607208)
CI	Jose Miranda	Jose Miranda (669304)
OF	Jake McCarthy	Jake McCarthy (664983)
OF	Kerry Carpenter	Kerry Carpenter (681481)
OF	Matt Wallner	Matt Wallner (670242)
OF	Wilyer Abreu	Wilyer Abreu (677800)
DH	Yainer Diaz	Yainer Diaz (673237)
DH	Will Smith	Will Smith (669257)
DH	Joc Pederson	Joc Pederson (592626)
DH	Isaac Paredes	Isaac Paredes (670623)
BAT BENCH	Carlos Correa	Carlos Correa (621043)
BAT BENCH	Christopher Morel	Christopher Morel (666624)
BAT BENCH	Ryan Mountcastle	Ryan Mountcastle (663624)
BAT BENCH	Josh Smith	Josh Smith (669701)
SP	Brady Singer	Brady Singer (663903)
SP	Jameson Taillon	Jameson Taillon (592791)
SP	Kevin Gausman	Kevin Gausman (592332)
SP	Logan Webb	Logan Webb (657277)
SP	Blake Snell	Blake Snell (605483)
SP	Chris Bassitt	Chris Bassitt (605135)
RP	Ryan Walker	Ryan Walker (676254)
RP	Mason Miller	Mason Miller (695243)
OP	Dean Kremer	Dean Kremer (665152)
OP	Craig Kimbrel	Craig Kimbrel (518886)
OP	Spencer Arrighetti	Spencer Arrighetti (681293)
OP	Jhoan Duran	Jhoan Duran (661395)
OP	MacKenzie Gore	MacKenzie Gore (669022)
PITCH BENCH	Grayson Rodriguez	Grayson Rodriguez (680570)
PITCH BENCH	Camilo Doval	Camilo Doval (666808)
