position	players	withId	withTeam
C	William Contreras	William Contreras (661388)	William Contreras (Milwaukee Brewers)
1B	Cody Bellinger	Cody Bellinger (641355)	Cody Bellinger (New York Yankees)
2B	Brice Turang	Brice Turang (668930)	Brice Turang (Milwaukee Brewers)
3B	Vladimir Guerrero Jr.	Vladimir Guerrero Jr. (665489)	Vladimir Guerrero Jr. (Toronto Blue Jays)
SS	Corey Seager	Corey Seager (608369)	Corey Seager (Texas Rangers)
MI	Luis García Jr.	Luis García Jr. (671277)	Luis García Jr. (Washington Nationals)
CI	Vinnie Pasquantino	Vinnie Pasquantino (686469)	Vinnie Pasquantino (Kansas City Royals)
OF	Michael Toglia	Michael Toglia (669911)	Michael Toglia (Colorado Rockies)
OF	James Wood	James Wood (695578)	James Wood (Washington Nationals)
OF	Teoscar Hernández	Teoscar Hernández (606192)	Teoscar Hernández (Los Angeles Dodgers)
OF	Victor Robles	Victor Robles (645302)	Victor Robles (Seattle Mariners)
DH	Andrew Vaughn	Andrew Vaughn (683734)	Andrew Vaughn (Chicago White Sox)
DH	Heliot Ramos	Heliot Ramos (671218)	Heliot Ramos (San Francisco Giants)
DH	Paul Goldschmidt	Paul Goldschmidt (502671)	Paul Goldschmidt (New York Yankees)
DH	Cedric Mullins	Cedric Mullins (656775)	Cedric Mullins (Baltimore Orioles)
BAT BENCH	Ronald Acuña Jr.	Ronald Acuña Jr. (660670)	Ronald Acuña Jr. (Atlanta Braves)
BAT BENCH	Gabriel Moreno	Gabriel Moreno (672515)	Gabriel Moreno (Arizona Diamondbacks)
BAT BENCH	Jo Adell	Jo Adell (666176)	Jo Adell (Los Angeles Angels)
SP	Zack Wheeler	Zack Wheeler (554430)	Zack Wheeler (Philadelphia Phillies)
SP	Robbie Ray	Robbie Ray (592662)	Robbie Ray (San Francisco Giants)
SP	Bryan Woo	Bryan Woo (693433)	Bryan Woo (Seattle Mariners)
SP	Paul Skenes	Paul Skenes (694973)	Paul Skenes (Pittsburgh Pirates)
SP	Jack Leiter	Jack Leiter (683004)	Jack Leiter (Texas Rangers)
SP	Brady Singer	Brady Singer (663903)	Brady Singer (Cincinnati Reds)
RP	Robert Suarez	Robert Suarez (663158)	Robert Suarez (San Diego Padres)
RP	A.J. Puk	A.J. Puk (640462)	A.J. Puk (Arizona Diamondbacks)
OP	Calvin Faucher	Calvin Faucher (676534)	Calvin Faucher (Miami Marlins)
OP	Matthew Boyd	Matthew Boyd (571510)	Matthew Boyd (Chicago Cubs)
OP	Chris Martin	Chris Martin (455119)	Chris Martin (Texas Rangers)
OP	Mike Clevinger	Mike Clevinger (605182)	Mike Clevinger (Chicago White Sox)
OP	Ben Joyce	Ben Joyce (690829)	Ben Joyce (Los Angeles Angels)
PITCH BENCH	Liam Hendriks	Liam Hendriks (521230)	Liam Hendriks (Boston Red Sox)
PITCH BENCH	Jason Adam	Jason Adam (592094)	Jason Adam (San Diego Padres)
PITCH BENCH	Hayden Birdsong	Hayden Birdsong (806185)	Hayden Birdsong (San Francisco Giants)
PITCH BENCH	Ryan Weathers	Ryan Weathers (677960)	Ryan Weathers (Miami Marlins)
