position	players	withId	withTeam
C	Bo Naylor	Bo Naylor (666310)	Bo Naylor (Cleveland Guardians)
1B	Michael Busch	Michael Busch (683737)	Michael Busch (Chicago Cubs)
2B	Jose Altuve	Jose Altuve (514888)	Jose Altuve (Houston Astros)
3B	Rafael Devers	Rafael Devers (646240)	Rafael Devers (San Francisco Giants)
SS	Bo Bichette	Bo Bichette (666182)	Bo Bichette (Toronto Blue Jays)
MI	Masyn Winn	Masyn Winn (691026)	Masyn Winn (St. Louis Cardinals)
CI	Josh Naylor	Josh Naylor (647304)	Josh Naylor (Arizona Diamondbacks)
OF	Aaron Judge	Aaron Judge (592450)	Aaron Judge (New York Yankees)
OF	Jackson Chourio	Jackson Chourio (694192)	Jackson Chourio (Milwaukee Brewers)
OF	Jarren Duran	Jarren Duran (680776)	Jarren Duran (Boston Red Sox)
OF	Lourdes Gurriel Jr.	Lourdes Gurriel Jr. (666971)	Lourdes Gurriel Jr. (Arizona Diamondbacks)
DH	Jake Burger	Jake Burger (669394)	Jake Burger (Texas Rangers)
DH	Jake Cronenworth	Jake Cronenworth (630105)	Jake Cronenworth (San Diego Padres)
DH	William Contreras	William Contreras (661388)	William Contreras (Milwaukee Brewers)
DH	Colton Cowser	Colton Cowser (681297)	Colton Cowser (Baltimore Orioles)
BAT BENCH	Gavin Lux	Gavin Lux (666158)	Gavin Lux (Cincinnati Reds)
BAT BENCH	JJ Bleday	JJ Bleday (668709)	JJ Bleday (Athletics)
BAT BENCH	Kyren Paris	Kyren Paris (677347)	Kyren Paris (Los Angeles Angels)
SP	Bowden Francis	Bowden Francis (670102)	Bowden Francis (Toronto Blue Jays)
SP	Chad Patrick	Chad Patrick (694477)	Chad Patrick (Milwaukee Brewers)
SP	Luis Castillo	Luis Castillo (622491)	Luis Castillo (Seattle Mariners)
SP	Mitchell Parker	Mitchell Parker (680730)	Mitchell Parker (Washington Nationals)
SP	Noah Cameron	Noah Cameron (702070)	Noah Cameron (Kansas City Royals)
SP	Zack Littell	Zack Littell (641793)	Zack Littell (Tampa Bay Rays)
RP	Jhoan Duran	Jhoan Duran (661395)	Jhoan Duran (Minnesota Twins)
RP	Pete Fairbanks	Pete Fairbanks (664126)	Pete Fairbanks (Tampa Bay Rays)
OP	Clarke Schmidt	Clarke Schmidt (657376)	Clarke Schmidt (New York Yankees)
OP	Dennis Santana	Dennis Santana (642701)	Dennis Santana (Pittsburgh Pirates)
OP	Kenley Jansen	Kenley Jansen (445276)	Kenley Jansen (Los Angeles Angels)
OP	Nathan Eovaldi	Nathan Eovaldi (543135)	Nathan Eovaldi (Texas Rangers)
OP	Tony Gonsolin	Tony Gonsolin (664062)	Tony Gonsolin (Los Angeles Dodgers)
PITCH BENCH	Bryce Miller	Bryce Miller (682243)	Bryce Miller (Seattle Mariners)
PITCH BENCH	Jordan Hicks	Jordan Hicks (663855)	Jordan Hicks (Boston Red Sox)
PITCH BENCH	Michael King	Michael King (650633)	Michael King (San Diego Padres)
PITCH BENCH	Shane McClanahan	Shane McClanahan (663556)	Shane McClanahan (Tampa Bay Rays)
