position	players	withId	withTeam
C	Adley Rutschman	Adley Rutschman (668939)	Adley Rutschman (Baltimore Orioles)
1B	Nick Kurtz	Nick Kurtz (701762)	Nick Kurtz (Athletics)
2B	Otto Lopez	Otto Lopez (672640)	Otto Lopez (Miami Marlins)
3B	Manny Machado	Manny Machado (592518)	Manny Machado (San Diego Padres)
SS	Trea Turner	Trea Turner (607208)	Trea Turner (Philadelphia Phillies)
MI	Trevor Story	Trevor Story (596115)	Trevor Story (Boston Red Sox)
CI	Jonathan Aranda	Jonathan Aranda (666018)	Jonathan Aranda (Tampa Bay Rays)
OF	Juan Soto	Juan Soto (665742)	Juan Soto (New York Mets)
OF	Kyle Tucker	Kyle Tucker (663656)	Kyle Tucker (Chicago Cubs)
OF	Lawrence Butler	Lawrence Butler (671732)	Lawrence Butler (Athletics)
OF	Pete Crow-Armstrong	Pete Crow-Armstrong (691718)	Pete Crow-Armstrong (Chicago Cubs)
DH	Andy Pages	Andy Pages (681624)	Andy Pages (Los Angeles Dodgers)
DH	Ian Happ	Ian Happ (664023)	Ian Happ (Chicago Cubs)
DH	Brandon Lowe	Brandon Lowe (664040)	Brandon Lowe (Tampa Bay Rays)
DH	Victor Scott II	Victor Scott II (687363)	Victor Scott II (St. Louis Cardinals)
BAT BENCH	Miguel Vargas	Miguel Vargas (678246)	Miguel Vargas (Chicago White Sox)
SP	Garrett Crochet	Garrett Crochet (676979)	Garrett Crochet (Boston Red Sox)
SP	Jack Flaherty	Jack Flaherty (656427)	Jack Flaherty (Detroit Tigers)
SP	José Soriano	José Soriano (667755)	José Soriano (Los Angeles Angels)
SP	Max Fried	Max Fried (608331)	Max Fried (New York Yankees)
SP	Seth Lugo	Seth Lugo (607625)	Seth Lugo (Kansas City Royals)
SP	Zebby Matthews	Zebby Matthews (805673)	Zebby Matthews (Minnesota Twins)
RP	Mason Miller	Mason Miller (695243)	Mason Miller (San Diego Padres)
RP	Cade Smith	Cade Smith (671922)	Cade Smith (Cleveland Guardians)
OP	Chase Burns	Chase Burns (695505)	Chase Burns (Cincinnati Reds)
OP	Gavin Williams	Gavin Williams (668909)	Gavin Williams (Cleveland Guardians)
OP	Ryne Nelson	Ryne Nelson (669194)	Ryne Nelson (Arizona Diamondbacks)
OP	Trevor Rogers	Trevor Rogers (669432)	Trevor Rogers (Baltimore Orioles)
OP	Blake Treinen	Blake Treinen (595014)	Blake Treinen (Los Angeles Dodgers)
PITCH BENCH	Bubba Chandler	Bubba Chandler (696149)	Bubba Chandler (Pittsburgh Pirates)
PITCH BENCH	Clay Holmes	Clay Holmes (605280)	Clay Holmes (New York Mets)
PITCH BENCH	Shelby Miller	Shelby Miller (571946)	Shelby Miller (Milwaukee Brewers)
PITCH BENCH	Tanner Scott	Tanner Scott (656945)	Tanner Scott (Los Angeles Dodgers)
PITCH BENCH	Yennier Cano	Yennier Cano (666974)	Yennier Cano (Baltimore Orioles)
PITCH BENCH	Casey Mize	Casey Mize (663554)	Casey Mize (Detroit Tigers)
