position	players	withId	withTeam
C	Will Smith	Will Smith (669257)	Will Smith (Los Angeles Dodgers)
1B	Freddie Freeman	Freddie Freeman (518692)	Freddie Freeman (Los Angeles Dodgers)
2B	Jonathan India	Jonathan India (663697)	Jonathan India (Kansas City Royals)
3B	Matt Chapman	Matt Chapman (656305)	Matt Chapman (San Francisco Giants)
SS	Carlos Correa	Carlos Correa (621043)	Carlos Correa (Houston Astros)
MI	Colt Keith	Colt Keith (690993)	Colt Keith (Detroit Tigers)
CI	Chase Meidroth	Chase Meidroth (805367)	Chase Meidroth (Chicago White Sox)
OF	Marcell Ozuna	Marcell Ozuna (542303)	Marcell Ozuna (Atlanta Braves)
OF	Matt Wallner	Matt Wallner (670242)	Matt Wallner (Minnesota Twins)
OF	Oneil Cruz	Oneil Cruz (665833)	Oneil Cruz (Pittsburgh Pirates)
OF	Riley Greene	Riley Greene (682985)	Riley Greene (Detroit Tigers)
DH	Jurickson Profar	Jurickson Profar (595777)	Jurickson Profar (Atlanta Braves)
DH	Nick Castellanos	Nick Castellanos (592206)	Nick Castellanos (Philadelphia Phillies)
DH	Roman Anthony	Roman Anthony (701350)	Roman Anthony (Boston Red Sox)
DH	Shohei Ohtani	Shohei Ohtani (660271)	Shohei Ohtani (Los Angeles Dodgers)
BAT BENCH	Isaac Paredes	Isaac Paredes (670623)	Isaac Paredes (Houston Astros)
BAT BENCH	Kristian Campbell	Kristian Campbell (692225)	Kristian Campbell (Boston Red Sox)
BAT BENCH	Matt McLain	Matt McLain (680574)	Matt McLain (Cincinnati Reds)
SP	Jesús Luzardo	Jesús Luzardo (666200)	Jesús Luzardo (Philadelphia Phillies)
SP	Logan Gilbert	Logan Gilbert (669302)	Logan Gilbert (Seattle Mariners)
SP	Merrill Kelly	Merrill Kelly (518876)	Merrill Kelly (Texas Rangers)
SP	Sonny Gray	Sonny Gray (543243)	Sonny Gray (St. Louis Cardinals)
SP	Spencer Strider	Spencer Strider (675911)	Spencer Strider (Atlanta Braves)
SP	Yoshinobu Yamamoto	Yoshinobu Yamamoto (808967)	Yoshinobu Yamamoto (Los Angeles Dodgers)
RP	Trevor Megill	Trevor Megill (656730)	Trevor Megill (Milwaukee Brewers)
RP	Jeff Hoffman	Jeff Hoffman (656546)	Jeff Hoffman (Toronto Blue Jays)
OP	Drew Rasmussen	Drew Rasmussen (656876)	Drew Rasmussen (Tampa Bay Rays)
OP	Jeffrey Springs	Jeffrey Springs (605488)	Jeffrey Springs (Athletics)
OP	Kodai Senga	Kodai Senga (673540)	Kodai Senga (New York Mets)
OP	Ronny Henriquez	Ronny Henriquez (678692)	Ronny Henriquez (Miami Marlins)
OP	Shane Bieber	Shane Bieber (669456)	Shane Bieber (Toronto Blue Jays)
PITCH BENCH	JP Sears	JP Sears (676664)	JP Sears (San Diego Padres)
PITCH BENCH	Justin Verlander	Justin Verlander (434378)	Justin Verlander (San Francisco Giants)
PITCH BENCH	Ryan Helsley	Ryan Helsley (664854)	Ryan Helsley (New York Mets)
