position	players	withId	withTeam
C	Cal Raleigh	Cal Raleigh (663728)	Cal Raleigh (Seattle Mariners)
1B	Tyler Soderstrom	Tyler Soderstrom (691016)	Tyler Soderstrom (Athletics)
2B	Bryson Stott	Bryson Stott (681082)	Bryson Stott (Philadelphia Phillies)
3B	Junior Caminero	Junior Caminero (691406)	Junior Caminero (Tampa Bay Rays)
SS	Jeremy Peña	Jeremy Peña (665161)	Jeremy Peña (Houston Astros)
MI	Geraldo Perdomo	Geraldo Perdomo (672695)	Geraldo Perdomo (Arizona Diamondbacks)
CI	Kyle Manzardo	Kyle Manzardo (700932)	Kyle Manzardo (Cleveland Guardians)
OF	Chandler Simpson	Chandler Simpson (802415)	Chandler Simpson (Tampa Bay Rays)
OF	Jackson Merrill	Jackson Merrill (701538)	Jackson Merrill (San Diego Padres)
OF	Ramón Laureano	Ramón Laureano (657656)	Ramón Laureano (San Diego Padres)
OF	Seiya Suzuki	Seiya Suzuki (673548)	Seiya Suzuki (Chicago Cubs)
DH	Andrew Vaughn	Andrew Vaughn (683734)	Andrew Vaughn (Milwaukee Brewers)
DH	Noelvi Marte	Noelvi Marte (682622)	Noelvi Marte (Cincinnati Reds)
DH	Wyatt Langford	Wyatt Langford (694671)	Wyatt Langford (Texas Rangers)
DH	Yordan Alvarez	Yordan Alvarez (670541)	Yordan Alvarez (Houston Astros)
BAT BENCH	Josh Jung	Josh Jung (673962)	Josh Jung (Texas Rangers)
BAT BENCH	Matt Shaw	Matt Shaw (807713)	Matt Shaw (Chicago Cubs)
SP	Cristopher Sánchez	Cristopher Sánchez (650911)	Cristopher Sánchez (Philadelphia Phillies)
SP	Framber Valdez	Framber Valdez (664285)	Framber Valdez (Houston Astros)
SP	Freddy Peralta	Freddy Peralta (642547)	Freddy Peralta (Milwaukee Brewers)
SP	Hunter Brown	Hunter Brown (686613)	Hunter Brown (Houston Astros)
SP	Quinn Priester	Quinn Priester (682990)	Quinn Priester (Milwaukee Brewers)
SP	Tarik Skubal	Tarik Skubal (669373)	Tarik Skubal (Detroit Tigers)
RP	Emilio Pagán	Emilio Pagán (641941)	Emilio Pagán (Cincinnati Reds)
RP	JoJo Romero	JoJo Romero (668941)	JoJo Romero (St. Louis Cardinals)
OP	Andrew Saalfrank	Andrew Saalfrank (685314)	Andrew Saalfrank (Arizona Diamondbacks)
OP	Braxton Ashcraft	Braxton Ashcraft (677952)	Braxton Ashcraft (Pittsburgh Pirates)
OP	Cade Horton	Cade Horton (690990)	Cade Horton (Chicago Cubs)
OP	Parker Messick	Parker Messick (800048)	Parker Messick (Cleveland Guardians)
OP	Shohei Ohtani	Shohei Ohtani (660271)	Shohei Ohtani (Los Angeles Dodgers)
PITCH BENCH	Brandon Sproat	Brandon Sproat (687075)	Brandon Sproat (New York Mets)
PITCH BENCH	Cade Cavalli	Cade Cavalli (676917)	Cade Cavalli (Washington Nationals)
PITCH BENCH	Luis Garcia	Luis Garcia (677651)	Luis Garcia (Houston Astros)
PITCH BENCH	Mitch Keller	Mitch Keller (656605)	Mitch Keller (Pittsburgh Pirates)
PITCH BENCH	Tanner Bibee	Tanner Bibee (676440)	Tanner Bibee (Cleveland Guardians)
