position	players	withId	withTeam
C	Drake Baldwin	Drake Baldwin (686948)	Drake Baldwin (Atlanta Braves)
1B	Yandy Díaz	Yandy Díaz (650490)	Yandy Díaz (Tampa Bay Rays)
2B	Jackson Holliday	Jackson Holliday (702616)	Jackson Holliday (Baltimore Orioles)
3B	Jazz Chisholm Jr.	Jazz Chisholm Jr. (665862)	Jazz Chisholm Jr. (New York Yankees)
SS	Gunnar Henderson	Gunnar Henderson (683002)	Gunnar Henderson (Baltimore Orioles)
MI	Ozzie Albies	Ozzie Albies (645277)	Ozzie Albies (Atlanta Braves)
CI	Salvador Perez	Salvador Perez (521692)	Salvador Perez (Kansas City Royals)
OF	Brent Rooker	Brent Rooker (667670)	Brent Rooker (Athletics)
OF	Christian Yelich	Christian Yelich (592885)	Christian Yelich (Milwaukee Brewers)
OF	Fernando Tatis Jr.	Fernando Tatis Jr. (665487)	Fernando Tatis Jr. (San Diego Padres)
OF	Steven Kwan	Steven Kwan (680757)	Steven Kwan (Cleveland Guardians)
DH	Brandon Nimmo	Brandon Nimmo (607043)	Brandon Nimmo (New York Mets)
DH	Giancarlo Stanton	Giancarlo Stanton (519317)	Giancarlo Stanton (New York Yankees)
DH	Lars Nootbaar	Lars Nootbaar (663457)	Lars Nootbaar (St. Louis Cardinals)
DH	Sal Frelick	Sal Frelick (686217)	Sal Frelick (Milwaukee Brewers)
BAT BENCH	Brendan Donovan	Brendan Donovan (680977)	Brendan Donovan (St. Louis Cardinals)
BAT BENCH	Josh Smith	Josh Smith (669701)	Josh Smith (Texas Rangers)
BAT BENCH	Jung Hoo Lee	Jung Hoo Lee (808982)	Jung Hoo Lee (San Francisco Giants)
BAT BENCH	Ryan O'Hearn	Ryan O'Hearn (656811)	Ryan O'Hearn (San Diego Padres)
SP	Blake Snell	Blake Snell (605483)	Blake Snell (Los Angeles Dodgers)
SP	José Berríos	José Berríos (621244)	José Berríos (Toronto Blue Jays)
SP	Shane Baz	Shane Baz (669358)	Shane Baz (Tampa Bay Rays)
SP	Shota Imanaga	Shota Imanaga (684007)	Shota Imanaga (Chicago Cubs)
SP	David Peterson	David Peterson (656849)	David Peterson (New York Mets)
SP	Emmet Sheehan	Emmet Sheehan (686218)	Emmet Sheehan (Los Angeles Dodgers)
RP	Carlos Estévez	Carlos Estévez (608032)	Carlos Estévez (Kansas City Royals)
RP	Devin Williams	Devin Williams (642207)	Devin Williams (New York Yankees)
OP	Ben Casparius	Ben Casparius (676508)	Ben Casparius (Los Angeles Dodgers)
OP	Ryan Bergert	Ryan Bergert (686701)	Ryan Bergert (Kansas City Royals)
OP	Justin Topa	Justin Topa (623437)	Justin Topa (Minnesota Twins)
OP	Simeon Woods Richardson	Simeon Woods Richardson (680573)	Simeon Woods Richardson (Minnesota Twins)
OP	Keegan Akin	Keegan Akin (669211)	Keegan Akin (Baltimore Orioles)
PITCH BENCH	Roki Sasaki	Roki Sasaki (808963)	Roki Sasaki (Los Angeles Dodgers)
PITCH BENCH	Jake Irvin	Jake Irvin (663623)	Jake Irvin (Washington Nationals)
PITCH BENCH	Michael Soroka	Michael Soroka (647336)	Michael Soroka (Chicago Cubs)
