position	players	withId	withTeam
C	Iván Herrera	Iván Herrera (671056)	Iván Herrera (St. Louis Cardinals)
1B	Pete Alonso	Pete Alonso (624413)	Pete Alonso (New York Mets)
2B	Ketel Marte	Ketel Marte (606466)	Ketel Marte (Arizona Diamondbacks)
3B	José Ramírez	José Ramírez (608070)	José Ramírez (Cleveland Guardians)
SS	Francisco Lindor	Francisco Lindor (596019)	Francisco Lindor (New York Mets)
MI	CJ Abrams	CJ Abrams (682928)	CJ Abrams (Washington Nationals)
CI	Eugenio Suárez	Eugenio Suárez (553993)	Eugenio Suárez (Seattle Mariners)
OF	George Springer	George Springer (543807)	George Springer (Toronto Blue Jays)
OF	Randy Arozarena	Randy Arozarena (668227)	Randy Arozarena (Seattle Mariners)
OF	Taylor Ward	Taylor Ward (621493)	Taylor Ward (Los Angeles Angels)
OF	Daulton Varsho	Daulton Varsho (662139)	Daulton Varsho (Toronto Blue Jays)
DH	Jo Adell	Jo Adell (666176)	Jo Adell (Los Angeles Angels)
DH	Royce Lewis	Royce Lewis (668904)	Royce Lewis (Minnesota Twins)
DH	Willy Adames	Willy Adames (642715)	Willy Adames (San Francisco Giants)
DH	Jorge Polanco	Jorge Polanco (593871)	Jorge Polanco (Seattle Mariners)
BAT BENCH	Addison Barger	Addison Barger (680718)	Addison Barger (Toronto Blue Jays)
BAT BENCH	TJ Friedl	TJ Friedl (670770)	TJ Friedl (Cincinnati Reds)
BAT BENCH	Xavier Edwards	Xavier Edwards (669364)	Xavier Edwards (Miami Marlins)
BAT BENCH	Spencer Torkelson	Spencer Torkelson (679529)	Spencer Torkelson (Detroit Tigers)
SP	Hunter Greene	Hunter Greene (668881)	Hunter Greene (Cincinnati Reds)
SP	Will Warren	Will Warren (701542)	Will Warren (New York Yankees)
SP	Lucas Giolito	Lucas Giolito (608337)	Lucas Giolito (Boston Red Sox)
SP	Hurston Waldrep	Hurston Waldrep (694462)	Hurston Waldrep (Atlanta Braves)
SP	Sandy Alcantara	Sandy Alcantara (645261)	Sandy Alcantara (Miami Marlins)
SP	Aaron Nola	Aaron Nola (605400)	Aaron Nola (Philadelphia Phillies)
RP	Andrés Muñoz	Andrés Muñoz (662253)	Andrés Muñoz (Seattle Mariners)
RP	Ian Seymour	Ian Seymour (693855)	Ian Seymour (Tampa Bay Rays)
OP	Max Scherzer	Max Scherzer (453286)	Max Scherzer (Toronto Blue Jays)
OP	Sean Manaea	Sean Manaea (640455)	Sean Manaea (New York Mets)
OP	Luis Severino	Luis Severino (622663)	Luis Severino (Athletics)
OP	Clayton Kershaw	Clayton Kershaw (477132)	Clayton Kershaw (Los Angeles Dodgers)
OP	Kyle Bradish	Kyle Bradish (680694)	Kyle Bradish (Baltimore Orioles)
PITCH BENCH	Yusei Kikuchi	Yusei Kikuchi (579328)	Yusei Kikuchi (Los Angeles Angels)
PITCH BENCH	Michael Wacha	Michael Wacha (608379)	Michael Wacha (Kansas City Royals)
PITCH BENCH	Cristian Javier	Cristian Javier (664299)	Cristian Javier (Houston Astros)
