position	players	withId
C	Willson Contreras	Willson Contreras (575929)
1B	Paul Goldschmidt	Paul Goldschmidt (502671)
2B	Jose Altuve	Jose Altuve (514888)
3B	Jose Ramirez	Jose Ramirez (608070)
MI	Trevor Story	Trevor Story (596115)
CI	Austin Riley	Austin Riley (663586)
OF	Mookie Betts	Mookie Betts (605141)
OF	Jesse Winker	Jesse Winker (608385)
OF	Lourdes Gurriel Jr.	Lourdes Gurriel Jr. (666971)
OF	Alex Verdugo	Alex Verdugo (657077)
DH	Austin Hays	Austin Hays (669720)
DH	Marcell Ozuna	Marcell Ozuna (542303)
DH	Andrew Benintendi	Andrew Benintendi (643217)
DH	Jean Segura	Jean Segura (516416)
BAT BENCH	Frank Schwindel	Frank Schwindel (643524)
BAT BENCH	Alex Kirilloff	Alex Kirilloff (666135)
BAT BENCH	Travis d'Arnaud	Travis d'Arnaud (518595)
SP	Frankie Montas	Frankie Montas (593423)
RP	Edwin Diaz	Edwin Diaz (621242)
OP	Garrett Whitlock	Garrett Whitlock (676477)
OP	Patrick Corbin	Patrick Corbin (571578)
