position	players	withId
C	Will Smith	Will Smith (669257)
1B	Pete Alonso	Pete Alonso (624413)
2B	Ozzie Albies	Ozzie Albies (645277)
3B	Yoan Moncada	Yoan Moncada (660162)
SS	Xander Bogaerts	Xander Bogaerts (593428)
MI	Tim Anderson	Tim Anderson (641313)
CI	Christian Walker	Christian Walker (572233)
OF	Juan Soto	Juan Soto (665742)
OF	Nelson Cruz	Nelson Cruz (443558)
OF	Starling Marte	Starling Marte (516782)
OF	Teoscar Hernandez	Teoscar Hernandez (606192)
DH	Bobby Dalbec	Bobby Dalbec (666915)
DH	Mike Yastrzemski	Mike Yastrzemski (573262)
DH	Myles Straw	Myles Straw (664702)
DH	Ryan Mountcastle	Ryan Mountcastle (663624)
SP	Hyun Jin Ryu	Hyun Jin Ryu (547943)
SP	Ian Anderson	Ian Anderson (666120)
SP	Marcus Stroman	Marcus Stroman (573186)
SP	Sandy Alcantara	Sandy Alcantara (645261)
SP	Sean Manaea	Sean Manaea (640455)
SP	Yu Darvish	Yu Darvish (506433)
RP	Drew Pomeranz	Drew Pomeranz (519141)
RP	Giovanny Gallegos	Giovanny Gallegos (606149)
OP	Anthony Bass	Anthony Bass (542914)
OP	Brady Singer	Brady Singer (663903)
OP	Hector Neris	Hector Neris (593576)
OP	Ryan Yarbrough	Ryan Yarbrough (642232)
OP	Yimi Garcia	Yimi Garcia (554340)
PITCH BENCH	A.J. Puk	A.J. Puk (640462)
PITCH BENCH	Casey Mize	Casey Mize (663554)
PITCH BENCH	David Price	David Price (456034)
