position	players	withId
C	Alejandro Kirk	Alejandro Kirk (672386)
1B	Josh Bell	Josh Bell (605137)
2B	Luis Urias	Luis Urias (649966)
3B	Rafael Devers	Rafael Devers (646240)
SS	Bobby Witt Jr.	Bobby Witt Jr. (677951)
MI	Willy Adames	Willy Adames (642715)
CI	Patrick Wisdom	Patrick Wisdom (621550)
OF	Aaron Judge	Aaron Judge (592450)
OF	Anthony Santander	Anthony Santander (623993)
OF	Seth Brown	Seth Brown (664913)
OF	Joc Pederson	Joc Pederson (592626)
DH	Brandon Drury	Brandon Drury (592273)
DH	Christian Walker	Christian Walker (572233)
DH	Jarren Duran	Jarren Duran (680776)
DH	Jorge Mateo	Jorge Mateo (622761)
BAT BENCH	Brandon Lowe	Brandon Lowe (664040)
BAT BENCH	Kyle Lewis	Kyle Lewis (641786)
BAT BENCH	Joey Gallo	Joey Gallo (608336)
BAT BENCH	Tyler O'Neill	Tyler O'Neill (641933)
SP	Alek Manoah	Alek Manoah (666201)
SP	Justin Verlander	Justin Verlander (434378)
SP	Logan Gilbert	Logan Gilbert (669302)
SP	Lucas Giolito	Lucas Giolito (608337)
SP	Michael Kopech	Michael Kopech (656629)
SP	Joe Ryan	Joe Ryan (657746)
RP	David Bednar	David Bednar (670280)
RP	Taylor Rogers	Taylor Rogers (573124)
OP	Jeffrey Springs	Jeffrey Springs (605488)
OP	Jhoan Duran	Jhoan Duran (661395)
OP	Paul Sewald	Paul Sewald (623149)
OP	Spencer Strider	Spencer Strider (675911)
OP	Ross Stripling	Ross Stripling (548389)
PITCH BENCH	Alex Wood	Alex Wood (622072)
PITCH BENCH	Jakob Junis	Jakob Junis (596001)
