position	players	withId	withTeam
C	Francisco Alvarez	Francisco Alvarez (682626)	Francisco Alvarez (New York Mets)
1B	Michael Busch	Michael Busch (683737)	Michael Busch (Chicago Cubs)
2B	Nico Hoerner	Nico Hoerner (663538)	Nico Hoerner (Chicago Cubs)
3B	Max Muncy	Max Muncy (571970)	Max Muncy (Los Angeles Dodgers)
SS	Bobby Witt Jr.	Bobby Witt Jr. (677951)	Bobby Witt Jr. (Kansas City Royals)
MI	Kevin McGonigle	Kevin McGonigle (805808)	Kevin McGonigle (Detroit Tigers)
CI	Freddie Freeman	Freddie Freeman (518692)	Freddie Freeman (Los Angeles Dodgers)
OF	Jarren Duran	Jarren Duran (680776)	Jarren Duran (Boston Red Sox)
OF	Kyle Schwarber	Kyle Schwarber (656941)	Kyle Schwarber (Philadelphia Phillies)
OF	Spencer Steer	Spencer Steer (668715)	Spencer Steer (Cincinnati Reds)
OF	Henry Bolte	Henry Bolte (703607)	Henry Bolte (Athletics)
DH	Bryce Harper	Bryce Harper (547180)	Bryce Harper (Philadelphia Phillies)
DH	Cole Young	Cole Young (702284)	Cole Young (Seattle Mariners)
DH	Corey Seager	Corey Seager (608369)	Corey Seager (Texas Rangers)
DH	Luis Arraez	Luis Arraez (650333)	Luis Arraez (San Francisco Giants)
BAT BENCH	J.T. Realmuto	J.T. Realmuto (592663)	J.T. Realmuto (Philadelphia Phillies)
BAT BENCH	Oneil Cruz	Oneil Cruz (665833)	Oneil Cruz (Pittsburgh Pirates)
SP	Dustin May	Dustin May (669160)	Dustin May (St. Louis Cardinals)
SP	Jacob deGrom	Jacob deGrom (594798)	Jacob deGrom (Texas Rangers)
SP	Nathan Eovaldi	Nathan Eovaldi (543135)	Nathan Eovaldi (Texas Rangers)
SP	Randy Vásquez	Randy Vásquez (681190)	Randy Vásquez (San Diego Padres)
SP	Sonny Gray	Sonny Gray (543243)	Sonny Gray (Boston Red Sox)
SP	Troy Melton	Troy Melton (675512)	Troy Melton (Detroit Tigers)
RP	Gregory Soto	Gregory Soto (642397)	Gregory Soto (Pittsburgh Pirates)
RP	Jacob Latz	Jacob Latz (656641)	Jacob Latz (Texas Rangers)
OP	Ben Brown	Ben Brown (676962)	Ben Brown (Chicago Cubs)
OP	Justin Wrobleski	Justin Wrobleski (680736)	Justin Wrobleski (Los Angeles Dodgers)
OP	Grant Taylor	Grant Taylor (691799)	Grant Taylor (Chicago White Sox)
OP	Sean Burke	Sean Burke (680732)	Sean Burke (Chicago White Sox)
OP	Anthony Kay	Anthony Kay (641743)	Anthony Kay (Chicago White Sox)
PITCH BENCH	Michael McGreevy	Michael McGreevy (700241)	Michael McGreevy (St. Louis Cardinals)
PITCH BENCH	Kumar Rocker	Kumar Rocker (677958)	Kumar Rocker (Texas Rangers)
PITCH BENCH	Grayson Rodriguez	Grayson Rodriguez (680570)	Grayson Rodriguez (Los Angeles Angels)
PITCH BENCH	Landen Roupp	Landen Roupp (694738)	Landen Roupp (San Francisco Giants)
PITCH BENCH	Mitch Keller	Mitch Keller (656605)	Mitch Keller (Pittsburgh Pirates)
