position	players	withId
C	J.T. Realmuto	J.T. Realmuto (592663)
1B	Pete Alonso	Pete Alonso (624413)
2B	Nolan Gorman	Nolan Gorman (669357)
3B	Matt Chapman	Matt Chapman (656305)
SS	Dansby Swanson	Dansby Swanson (621020)
MI	Santiago Espinal	Santiago Espinal (669289)
CI	Trey Mancini	Trey Mancini (641820)
OF	Adam Duvall	Adam Duvall (594807)
OF	J.D. Martinez	J.D. Martinez (502110)
OF	Kyle Tucker	Kyle Tucker (663656)
OF	Yordan Alvarez	Yordan Alvarez (670541)
DH	Jonathan India	Jonathan India (663697)
DH	Max Kepler	Max Kepler (596146)
DH	Ramon Laureano	Ramon Laureano (657656)
DH	Kolten Wong	Kolten Wong (543939)
BAT BENCH	AJ Pollock	AJ Pollock (572041)
BAT BENCH	Vinnie Pasquantino	Vinnie Pasquantino (686469)
SP	Brandon Woodruff	Brandon Woodruff (605540)
SP	Framber Valdez	Framber Valdez (664285)
SP	Gerrit Cole	Gerrit Cole (543037)
SP	Luis Garcia	Luis Garcia (677651)
SP	Max Fried	Max Fried (608331)
SP	Zac Gallen	Zac Gallen (668678)
RP	Jordan Romano	Jordan Romano (605447)
RP	Liam Hendriks	Liam Hendriks (521230)
OP	Aaron Civale	Aaron Civale (650644)
OP	Cristian Javier	Cristian Javier (664299)
OP	Jose Urquidy	Jose Urquidy (664353)
OP	Roansy Contreras	Roansy Contreras (672710)
OP	Trevor Rogers	Trevor Rogers (669432)
PITCH BENCH	Freddy Peralta	Freddy Peralta (642547)
PITCH BENCH	Stephen Strasburg	Stephen Strasburg (544931)
PITCH BENCH	Evan Phillips	Evan Phillips (623465)
PITCH BENCH	Brayan Bello	Brayan Bello (678394)
PITCH BENCH	Colin Poche	Colin Poche (621363)
