position	players	withId	withTeam
C	Dillon Dingler	Dillon Dingler (693307)	Dillon Dingler (Detroit Tigers)
1B	Yandy Díaz	Yandy Díaz (650490)	Yandy Díaz (Tampa Bay Rays)
2B	Luke Keaschall	Luke Keaschall (807712)	Luke Keaschall (Minnesota Twins)
3B	Austin Riley	Austin Riley (663586)	Austin Riley (Atlanta Braves)
SS	Gunnar Henderson	Gunnar Henderson (683002)	Gunnar Henderson (Baltimore Orioles)
MI	Colson Montgomery	Colson Montgomery (695657)	Colson Montgomery (Chicago White Sox)
CI	Pete Alonso	Pete Alonso (624413)	Pete Alonso (Baltimore Orioles)
OF	Bryan Reynolds	Bryan Reynolds (668804)	Bryan Reynolds (Pittsburgh Pirates)
OF	Jake McCarthy	Jake McCarthy (664983)	Jake McCarthy (Colorado Rockies)
OF	Seiya Suzuki	Seiya Suzuki (673548)	Seiya Suzuki (Chicago Cubs)
OF	Teoscar Hernández	Teoscar Hernández (606192)	Teoscar Hernández (Los Angeles Dodgers)
DH	Jackson Holliday	Jackson Holliday (702616)	Jackson Holliday (Baltimore Orioles)
DH	TJ Rumfield	TJ Rumfield (681198)	TJ Rumfield (Colorado Rockies)
DH	Ronald Acuña Jr.	Ronald Acuña Jr. (660670)	Ronald Acuña Jr. (Atlanta Braves)
DH	Luis Robert Jr.	Luis Robert Jr. (673357)	Luis Robert Jr. (New York Mets)
BAT BENCH	Giancarlo Stanton	Giancarlo Stanton (519317)	Giancarlo Stanton (New York Yankees)
BAT BENCH	Shea Langeliers	Shea Langeliers (669127)	Shea Langeliers (Athletics)
SP	Dylan Cease	Dylan Cease (656302)	Dylan Cease (Toronto Blue Jays)
SP	George Kirby	George Kirby (669923)	George Kirby (Seattle Mariners)
SP	Sandy Alcantara	Sandy Alcantara (645261)	Sandy Alcantara (Miami Marlins)
SP	Taj Bradley	Taj Bradley (671737)	Taj Bradley (Minnesota Twins)
SP	David Peterson	David Peterson (656849)	David Peterson (Chicago Cubs)
SP	Shane Bieber	Shane Bieber (669456)	Shane Bieber (Toronto Blue Jays)
RP	Jacob Webb	Jacob Webb (657097)	Jacob Webb (Chicago Cubs)
RP	Josh Hader	Josh Hader (623352)	Josh Hader (Houston Astros)
OP	Andre Pallante	Andre Pallante (669467)	Andre Pallante (St. Louis Cardinals)
OP	Slade Cecconi	Slade Cecconi (677944)	Slade Cecconi (Cleveland Guardians)
OP	Tatsuya Imai	Tatsuya Imai (837227)	Tatsuya Imai (Houston Astros)
OP	Yoendrys Gómez	Yoendrys Gómez (672782)	Yoendrys Gómez (Minnesota Twins)
OP	Roki Sasaki	Roki Sasaki (808963)	Roki Sasaki (Los Angeles Dodgers)
PITCH BENCH	Carlos Estévez	Carlos Estévez (608032)	Carlos Estévez (Kansas City Royals)
PITCH BENCH	Spencer Strider	Spencer Strider (675911)	Spencer Strider (Atlanta Braves)
PITCH BENCH	Tyler Glasnow	Tyler Glasnow (607192)	Tyler Glasnow (Los Angeles Dodgers)
PITCH BENCH	Noah Schultz	Noah Schultz (702273)	Noah Schultz (Chicago White Sox)
PITCH BENCH	Shea Langeliers	Shea Langeliers (669127)	Shea Langeliers (Athletics)
PITCH BENCH	Max Meyer	Max Meyer (676974)	Max Meyer (Miami Marlins)
