position	players	withId
C	Salvador Perez	Salvador Perez (521692)
1B	Matt Olson	Matt Olson (621566)
2B	Jon Berti	Jon Berti (542932)
3B	Eugenio Suarez	Eugenio Suarez (553993)
SS	Bo Bichette	Bo Bichette (666182)
MI	Francisco Lindor	Francisco Lindor (596019)
CI	Kyle Schwarber	Kyle Schwarber (656941)
OF	Brandon Nimmo	Brandon Nimmo (607043)
OF	Taylor Ward	Taylor Ward (621493)
OF	Mitch Haniger	Mitch Haniger (571745)
OF	Jurickson Profar	Jurickson Profar (595777)
DH	Andrew McCutchen	Andrew McCutchen (457705)
DH	MJ Melendez	MJ Melendez (669004)
DH	Josh Rojas	Josh Rojas (668942)
DH	Amed Rosario	Amed Rosario (642708)
BAT BENCH	Carlos Santana	Carlos Santana (467793)
BAT BENCH	Jean Segura	Jean Segura (516416)
BAT BENCH	Riley Greene	Riley Greene (682985)
BAT BENCH	Javier Baez	Javier Baez (595879)
SP	Charlie Morton	Charlie Morton (450203)
SP	Jameson Taillon	Jameson Taillon (592791)
SP	Kyle Wright	Kyle Wright (657140)
SP	Max Scherzer	Max Scherzer (453286)
SP	Alex Cobb	Alex Cobb (502171)
SP	Alex Wood	Alex Wood (622072)
RP	Daniel Bard	Daniel Bard (453268)
RP	Kenley Jansen	Kenley Jansen (445276)
OP	Corey Kluber	Corey Kluber (446372)
OP	Mike Clevinger	Mike Clevinger (605182)
OP	Sean Manaea	Sean Manaea (640455)
OP	Edward Cabrera	Edward Cabrera (665795)
OP	Jordan Montgomery	Jordan Montgomery (656756)
PITCH BENCH	Camilo Doval	Camilo Doval (666808)
PITCH BENCH	Domingo German	Domingo German (593334)
PITCH BENCH	Cole Irvin	Cole Irvin (608344)
