position	players	withId
C	Tyler Stephenson	Tyler Stephenson (663886)
1B	Freddie Freeman	Freddie Freeman (518692)
2B	Gavin Lux	Gavin Lux (666158)
3B	Matt Chapman	Matt Chapman (656305)
SS	Willy Adames	Willy Adames (642715)
MI	Tyler Fitzgerald	Tyler Fitzgerald (666149)
CI	Vladimir Guerrero Jr.	Vladimir Guerrero Jr. (665489)
OF	Brenton Doyle	Brenton Doyle (686668)
OF	Ian Happ	Ian Happ (664023)
OF	Jurickson Profar	Jurickson Profar (595777)
OF	Michael Harris II	Michael Harris II (671739)
DH	Cody Bellinger	Cody Bellinger (641355)
DH	Colton Cowser	Colton Cowser (681297)
DH	Michael Toglia	Michael Toglia (669911)
DH	Max Muncy	Max Muncy (571970)
BAT BENCH	Kyle Tucker	Kyle Tucker (663656)
BAT BENCH	Seiya Suzuki	Seiya Suzuki (673548)
BAT BENCH	Maikel Garcia	Maikel Garcia (672580)
BAT BENCH	Gleyber Torres	Gleyber Torres (650402)
SP	Framber Valdez	Framber Valdez (664285)
SP	Jack Flaherty	Jack Flaherty (656427)
SP	Michael King	Michael King (650633)
SP	Nathan Eovaldi	Nathan Eovaldi (543135)
SP	Seth Lugo	Seth Lugo (607625)
SP	Taj Bradley	Taj Bradley (671737)
RP	Chad Green	Chad Green (643338)
RP	Edwin Díaz	Edwin Díaz (621242)
OP	A.J. Puk	A.J. Puk (640462)
OP	Andrew Heaney	Andrew Heaney (571760)
OP	Charlie Morton	Charlie Morton (450203)
OP	Lucas Erceg	Lucas Erceg (668674)
OP	Albert Suárez	Albert Suárez (544150)
PITCH BENCH	Ryne Nelson	Ryne Nelson (669194)
PITCH BENCH	Grant Holmes	Grant Holmes (656550)
PITCH BENCH	Gavin Williams	Gavin Williams (668909)
