position	players	withId
C	Shea Langeliers	Shea Langeliers (669127)
1B	Paul Goldschmidt	Paul Goldschmidt (502671)
2B	Bryson Stott	Bryson Stott (681082)
3B	Eugenio Suárez	Eugenio Suárez (553993)
SS	Francisco Lindor	Francisco Lindor (596019)
MI	Masyn Winn	Masyn Winn (691026)
CI	Alex Bregman	Alex Bregman (608324)
OF	Brandon Nimmo	Brandon Nimmo (607043)
OF	George Springer	George Springer (543807)
OF	Lourdes Gurriel Jr.	Lourdes Gurriel Jr. (666971)
OF	Steven Kwan	Steven Kwan (680757)
DH	JJ Bleday	JJ Bleday (668709)
DH	Michael Busch	Michael Busch (683737)
DH	Luis Arraez	Luis Arraez (650333)
DH	Johan Rojas	Johan Rojas (679032)
BAT BENCH	Bo Bichette	Bo Bichette (666182)
BAT BENCH	Jeimer Candelario	Jeimer Candelario (600869)
SP	Andrew Abbott	Andrew Abbott (671096)
SP	George Kirby	George Kirby (669923)
SP	Jordan Montgomery	Jordan Montgomery (656756)
SP	Luis L. Ortiz	Luis L. Ortiz (682847)
SP	Mitch Keller	Mitch Keller (656605)
SP	Ranger Suárez	Ranger Suárez (624133)
RP	Josh Hader	Josh Hader (623352)
RP	Kenley Jansen	Kenley Jansen (445276)
OP	DJ Herz	DJ Herz (687792)
OP	Tanner Scott	Tanner Scott (656945)
OP	Calvin Faucher	Calvin Faucher (676534)
OP	Valente Bellozo	Valente Bellozo (678368)
OP	Matthew Boyd	Matthew Boyd (571510)
PITCH BENCH	Landon Knack	Landon Knack (689017)
PITCH BENCH	Reese Olson	Reese Olson (681857)
PITCH BENCH	Reid Detmers	Reid Detmers (672282)
PITCH BENCH	Max Meyer	Max Meyer (676974)
