position	players	withId
C	William Contreras	William Contreras (661388)
1B	Nathaniel Lowe	Nathaniel Lowe (663993)
2B	Luis García Jr.	Luis García Jr. (671277)
3B	Manny Machado	Manny Machado (592518)
SS	Zach Neto	Zach Neto (687263)
MI	Mookie Betts	Mookie Betts (605141)
CI	Alec Bohm	Alec Bohm (664761)
OF	Bryan Reynolds	Bryan Reynolds (668804)
OF	Teoscar Hernández	Teoscar Hernández (606192)
OF	Tyler O'Neill	Tyler O'Neill (641933)
OF	Bryan De La Cruz	Bryan De La Cruz (650559)
DH	Ezequiel Tovar	Ezequiel Tovar (678662)
DH	Jeremy Peña	Jeremy Peña (665161)
DH	Victor Robles	Victor Robles (645302)
DH	Nolan Jones	Nolan Jones (666134)
BAT BENCH	Ha-Seong Kim	Ha-Seong Kim (673490)
BAT BENCH	Willson Contreras	Willson Contreras (575929)
BAT BENCH	Corey Seager	Corey Seager (608369)
SP	Bowden Francis	Bowden Francis (670102)
SP	Corbin Burnes	Corbin Burnes (669203)
SP	Logan Gilbert	Logan Gilbert (669302)
SP	Sean Manaea	Sean Manaea (640455)
SP	Sonny Gray	Sonny Gray (543243)
SP	Tyler Anderson	Tyler Anderson (542881)
RP	Clay Holmes	Clay Holmes (605280)
RP	Aroldis Chapman	Aroldis Chapman (547973)
OP	Edward Cabrera	Edward Cabrera (665795)
OP	Frankie Montas	Frankie Montas (593423)
OP	Nick Pivetta	Nick Pivetta (601713)
OP	Albert Suárez	Albert Suárez (544150)
OP	Lance Lynn	Lance Lynn (458681)
PITCH BENCH	Jon Gray	Jon Gray (592351)
PITCH BENCH	David Bednar	David Bednar (670280)
PITCH BENCH	Clayton Kershaw	Clayton Kershaw (477132)
PITCH BENCH	Justin Verlander	Justin Verlander (434378)
